FIPS,CountyNo,Name,Total,Anglo,Black,Hispanic,Other
1,1,Anderson,"58,458","36,064","12,489","9,287",618
3,2,Andrews,"14,786","7,164",226,"7,195",201
5,3,Angelina,"86,771","55,230","13,197","17,145","1,199"
7,4,Aransas,"23,158","16,543",296,"5,690",629
9,5,Archer,"9,054","8,255",39,675,85
11,6,Armstrong,"1,901","1,742",11,124,24
13,7,Atascosa,"44,911","16,510",286,"27,785",330
15,8,Austin,"28,417","18,759","2,726","6,641",291
17,9,Bailey,"7,165","2,774",67,"4,283",41
19,10,Bandera,"20,485","16,758",98,"3,415",214
21,11,Bastrop,"74,171","43,022","5,956","24,190","1,003"
23,12,Baylor,"3,726","3,175",78,455,18
25,13,Bee,"31,861","11,099","2,576","17,906",280
27,14,Bell,"310,235","160,887","68,454","67,010","13,884"
29,15,Bexar,"1,714,773","530,249","126,644","1,006,958","50,922"
31,16,Blanco,"10,497","8,402",68,"1,909",118
33,17,Borden,641,543,0,95,3
35,18,Bosque,"18,212","14,826",337,"2,926",123
37,19,Bowie,"92,565","62,005","22,936","6,062","1,562"
39,20,Brazoria,"313,166","168,946","38,560","86,643","19,017"
41,21,Brazos,"194,851","116,703","21,682","45,405","11,061"
43,22,Brewster,"9,232","5,100",84,"3,918",130
45,23,Briscoe,"1,637","1,184",40,411,2
47,24,Brooks,"7,223",581,20,"6,590",32
49,25,Brown,"38,106","28,774","1,493","7,453",386
51,26,Burleson,"17,187","11,758","2,126","3,166",137
53,27,Burnet,"42,750","32,842",829,"8,652",427
55,28,Caldwell,"38,066","17,057","2,586","17,922",501
57,29,Calhoun,"21,381","9,901",557,"9,922","1,001"
59,30,Callahan,"13,544","12,198",185,"1,025",136
61,31,Cameron,"406,220","43,906","1,332","357,747","3,235"
63,32,Camp,"12,401","7,367","2,267","2,648",119
65,33,Carson,"6,182","5,535",41,525,81
67,34,Cass,"30,464","23,659","5,432","1,053",320
69,35,Castro,"8,062","3,018",152,"4,828",64
71,36,Chambers,"35,096","24,998","2,956","6,635",507
73,37,Cherokee,"50,845","32,170","7,776","10,499",400
75,38,Childress,"7,041","4,378",692,"1,885",86
77,39,Clay,"10,752","10,077",53,467,155
79,40,Cochran,"3,127","1,344",111,"1,654",18
81,41,Coke,"3,320","2,686",7,602,25
83,42,Coleman,"8,895","7,197",202,"1,419",77
85,43,Collin,"782,341","503,285","69,198","115,354","94,504"
87,44,Collingsworth,"3,057","1,967",125,916,49
89,45,Colorado,"20,874","12,544","2,739","5,452",139
91,46,Comal,"108,472","78,219","1,845","26,989","1,419"
93,47,Comanche,"13,974","10,245",25,"3,605",99
95,48,Concho,"4,087","1,822",57,"2,173",35
97,49,Cooke,"38,437","30,570","1,216","5,997",654
99,50,Coryell,"75,388","47,789","12,691","11,973","2,935"
101,51,Cottle,"1,505","1,043",138,316,8
103,52,Crane,"4,375","1,784",122,"2,409",60
105,53,Crockett,"3,719","1,331",13,"2,352",23
107,54,Crosby,"6,059","2,658",203,"3,171",27
109,55,Culberson,"2,398",526,8,"1,827",37
111,56,Dallam,"6,703","3,806",84,"2,717",96
113,57,Dallas,"2,368,139","797,324","531,293","905,940","133,582"
115,58,Dawson,"13,833","5,423",933,"7,387",90
117,59,Deaf Smith,"19,372","6,012",181,"13,039",140
119,60,Delta,"5,231","4,431",406,288,106
121,61,Denton,"662,614","433,971","58,341","120,836","49,466"
123,62,DeWitt,"20,097","11,519","1,891","6,502",185
125,63,Dickens,"2,444","1,605",92,708,39
127,64,Dimmit,"9,996","1,229",81,"8,616",70
129,65,Donley,"3,677","3,172",170,309,26
131,66,Duval,"11,782","1,226",86,"10,424",46
133,67,Eastland,"18,583","15,380",360,"2,673",170
135,68,Ector,"137,130","56,925","6,014","72,331","1,860"
137,69,Edwards,"2,002",951,10,"1,027",14
139,70,Ellis,"149,610","98,984","13,724","35,161","1,741"
141,71,El Paso,"800,647","107,902","22,717","658,134","11,894"
143,72,Erath,"37,890","29,680",489,"7,279",442
145,73,Falls,"17,866","9,495","4,515","3,716",140
147,74,Fannin,"33,915","27,792","2,433","3,226",464
149,75,Fayette,"24,554","18,090","1,718","4,585",161
151,76,Fisher,"3,974","2,823",126,999,26
153,77,Floyd,"6,446","2,777",230,"3,410",29
155,78,Foard,"1,336","1,090",54,187,5
157,79,Fort Bend,"585,375","216,371","126,298","138,967","103,739"
159,80,Franklin,"10,605","8,700",449,"1,333",123
161,81,Freestone,"19,816","13,773","3,205","2,694",144
163,82,Frio,"17,217","2,852",534,"13,401",430
165,83,Gaines,"17,526","10,738",275,"6,413",100
